code_uic,name,fret,voyageurs,code_ligne,rg_troncon,pk,ville,departement,num_departement,y_geo,x_geo
87172460,Attigny (Ardennes),O,N,210000,1,009+943,Attigny,Ardennes,08,4.580578950679025,49.483379959998295
87172486,Messempré,O,N,214000,1,006+107,Pure,Ardennes,08,5.164127915872865,49.676840328434906
87172502,Tournes,O,N,223000,1,150+521,Tournes,Ardennes,08,4.627943655912601,49.793232912357084
87172544,Liart,N,O,212000,1,027+453,Liart,Ardennes,08,4.335391598446347,49.77036003975778
87172593,Vouziers,O,N,210000,1,028+176,Vouziers,Ardennes,08,4.705851241346434,49.38948151612966
87172627,Monthois,O,N,210000,1,037+694,Monthois,Ardennes,08,4.712480189517033,49.324836500040774
87172759,Mouzon,O,N,88000,1,131+231,Mouzon,Ardennes,08,5.069089194462988,49.60408051933817
87172858,Anchamps,N,O,205000,1,171+604,Anchamps,Ardennes,08,4.66991430394058,49.93076514927236
87172874,Fépin,N,O,205000,1,188+957,Fépin,Ardennes,08,4.725812200721467,50.02375575619918
87611327,Varilhes,N,O,672000,1,073+492,Varilhes,Ariège,09,1.628432371769582,43.04150500836928
87611343,Pamiers,O,O,672000,1,064+220,Pamiers,Ariège,09,1.619598176044641,43.116113187989036
87611350,Vernet-d'Ariège,N,O,672000,1,056+024,Le Vernet,Ariège,09,1.611607072773937,43.18934614579822
87611368,Saverdun,N,O,672000,1,048+376,Saverdun,Ariège,09,1.570693505005694,43.2393788222438
87611517,L'Hospitalet-près-l'Andorre,N,O,672000,1,144+023,L'Hospitalet-Près-L'Andorre,Ariège,09,1.800026840097774,42.5895023978247
87611525,Mérens-les-Vals,N,O,672000,1,133+109,Mérens-Les-Vals,Ariège,09,1.83733661606178,42.65936456855758
87611533,Ax-les-Thermes,N,O,672000,1,123+329,Ax-Les-Thermes,Ariège,09,1.83346662646096,42.724771434731764
87611558,Luzenac-Garanou,O,O,672000,1,114+998,Garanou,Ariège,09,1.753240430410328,42.76430323973474
87611574,Les Cabannes,N,O,672000,1,108+520,Les Cabannes,Ariège,09,1.68626685124549,42.78643042874622
87611590,Tarascon-sur-Ariège,O,O,672000,1,097+982,Tarascon-Sur-Ariège,Ariège,09,1.599986444337187,42.849488340290144
87611616,Foix,O,O,672000,1,082+183,Foix,Ariège,09,1.606884171012564,42.96964899731326
87611624,St-Jean-de-Verges,N,O,672000,1,077+334,Crampagna,Ariège,09,1.608078902407974,43.01220711368319
87118000,Troyes,O,O,12000,1,166+193,Saint-Julien-Les-Villas,Aube,10,4.093255492388044,48.267956881185235
87118356,Bouilly-Roncenay,O,N,832000,1,178+915,Roncenay,Aube,10,4.058283261027769,48.195345673895545
87118430,Buchères-Verrières,O,N,838000,1,175+031,Buchères,Aube,10,4.132615641779364,48.23172693249482
87118497,Bar-sur-Seine,O,N,838000,1,198+783,Bar-Sur-Seine,Aube,10,4.381865469038444,48.11715793030451
87118505,Polisot,O,N,838000,1,203+775,Polisot,Aube,10,4.384352001331836,48.07309328540291
87118554,Charmont,O,N,6000,2,070+809,Charmont-Sous-Barbuise,Aube,10,4.173755529094502,48.403205538126784
87118588,Arcis-sur-Aube,O,N,6000,2,053+236,Villette-Sur-Aube,Aube,10,4.128675826570033,48.53272650786576
87118752,Brienne-le-Château,O,N,15000,1,208+110,Brienne-Le-Château,Aube,10,4.532349899013344,48.39604854521854
87118760,Dienville,O,N,15000,1,201+843,Dienville,Aube,10,4.545021033531774,48.3477123467185
87118786,Chavanges,O,N,13000,1,007+732,Chavanges,Aube,10,4.586064025145335,48.5083156467384
87118810,Estissac,O,N,6000,3,110+278,Estissac,Aube,10,3.802414541228782,48.274286236155824
87174573,Mailly-le-Camp,O,N,6000,2,033+380,Mailly-Le-Camp,Aube,10,4.178829817592018,48.67487955631586
87598755,Limoux-Flassian,N,O,676000,1,371+870,Limoux,Aude,11,2.218549786847058,43.06845459182889
87615039,Castelnaudary,O,O,640000,1,311+196,Castelnaudary,Aude,11,1.951212109755117,43.31204447696695
87615054,Bram,O,O,640000,1,327+146,Bram,Aude,11,2.120248655746591,43.24374242931478
87615062,Trèbes,O,N,640000,1,354+293,Trèbes,Aude,11,2.434688831720839,43.20554776894618
87615112,Lézignan (Aude),N,O,640000,1,383+507,Lezignan-Corbieres,Aude,11,2.770291282453083,43.20006037775123
87615120,Couffoulens-Leuc,N,O,676000,1,356+799,Couffoulens,Aude,11,2.316895616554444,43.15519722029429
87615138,Verzeille,N,O,676000,1,359+814,Leuc,Aude,11,2.321303189572111,43.13048958773777
87615146,Pomas,N,O,676000,1,363+552,Pomas,Aude,11,2.288294870421237,43.11218352513804
87615161,Limoux,N,O,676000,1,373+345,Limoux,Aude,11,2.223087178016785,43.05646966541196
87615187,Alet-les-Bains,N,O,676000,1,382+362,Alet-Les-Bains,Aude,11,2.251998052127515,42.99727450737012
87615203,Couiza-Montazels,N,O,676000,1,389+286,Montazels,Aude,11,2.248224891007013,42.94241062749167
87615211,Espéraza,N,O,676000,1,392+349,Espéraza,Aude,11,2.218243348973476,42.9357975616576
87615229,Campagne,N,O,676000,1,395+552,Campagne-Sur-Aude,Aude,11,2.205488639530065,42.916747949686076
87615260,Quillan,N,O,676000,1,401+618,Quillan,Aude,11,2.181744509481686,42.873609277848715
87615286,Carcassonne,O,O,640000,1,347+282,Carcassonne,Aude,11,2.352986949598741,43.21826921559891
87781062,Port-la-Nouvelle,O,O,677000,1,425+125,Port-La-Nouvelle,Aude,11,3.038711639289963,43.01986737903757
87781088,Leucate-la-Franqui,N,O,677000,1,435+360,Leucate,Aude,11,3.012754203691728,42.93265437530484
87781104,Narbonne,O,O,640000,1,406+117,Narbonne,Aude,11,3.008786200782202,43.193210182808116
87781161,Coursan,N,O,640000,1,412+069,Coursan,Aude,11,3.051416551996191,43.23418716654783
87781856,Sallèles-d'Aude,O,N,734000,1,417+651,Sallèles-D'Aude,Aude,11,2.946155642460429,43.26239184401905
87784439,Lapradelle,O,N,676000,1,420+415,Puilaurens,Aude,11,2.313008818752499,42.81070782254279
87613109,Capdenac,O,O,718000,1,243+250,Capdenac-Gare,Aveyron,12,2.077408214377482,44.57865477582681
87613224,Aubin,N,O,701000,1,262+251,Aubin,Aveyron,12,2.239091365724155,44.527366678994674
87613232,Cransac,O,O,701000,1,264+983,Cransac,Aveyron,12,2.271752441163691,44.522936850067055
87613257,St-Christophe,N,O,701000,1,278+975,Saint-Christophe-Vallon,Aveyron,12,2.407481693607086,44.464787751590286
87613422,Rodez,O,O,725000,1,624+277,Rodez,Aveyron,12,2.580264601812115,44.36265275692083
87613463,Najac,N,O,718000,1,289+520,Najac,Aveyron,12,1.976477863897994,44.22243921196413
87613661,Viviez-Decazeville,O,O,701000,1,258+528,Viviez,Aveyron,12,2.218316324853336,44.55595253532143
87613877,Salles-Courbatiès,N,O,718000,1,257+090,Salles-Courbatiès,Aveyron,12,2.079196516726654,44.47551460594185
87613893,Villefranche-de-Rouergue,O,O,718000,1,273+109,Villefranche-De-Rouergue,Aveyron,12,2.037141060417348,44.34765567400817
87615732,Naucelle,N,O,736000,1,458+987,Naucelle,Aveyron,12,2.363718782362403,44.18591308494914
87615757,Baraqueville-Carcenac-Peyralès,O,O,736000,1,473+357,Baraqueville,Aveyron,12,2.428143927438019,44.270603189325136
87615773,Luc-Primaube,O,O,736000,1,484+884,Luc-La-Primaube,Aveyron,12,2.554709662483429,44.29215515184133
87781534,Montpaon,N,O,722000,1,508+053,Fondamente,Aveyron,12,3.109694918299909,43.868444642010424
87783001,Millau,O,O,722000,1,549+369,Millau,Aveyron,12,3.07437667979391,44.102428225009724
87783340,Campagnac-St-Geniez,N,O,722000,1,593+156,Campagnac,Aveyron,12,3.066230308233966,44.42200009117782
87783365,Sévérac-le-Château,O,O,725000,1,579+559,Sévérac-Le-Château,Aveyron,12,3.056233833704843,44.32588340399582
87783423,St-Georges-de-Luzençon,N,O,722000,1,538+227,Saint-Georges-De-Luzençon,Aveyron,12,2.983520239749485,44.066053581309056
87783431,St-Rome-de-Cernon,N,O,722000,1,531+724,Saint-Rome-De-Cernon,Aveyron,12,2.967445456514812,44.013993469293446
87783456,Tournemire-Roquefort,N,O,727000,1,524+584,Tournemire,Aveyron,12,3.016591363237482,43.96998189614436
87783761,Laissac,N,O,725000,1,601+062,Laissac,Aveyron,12,2.82231186388015,44.3750538540899
87180141,Beinheim-Embranchement,O,N,145000,1,042+000,Beinheim,Bas-Rhin,67,8.07742828347306,48.87188174536525
87193672,Herbitzheim,N,O,169000,1,004+265,Herbitzheim,Bas-Rhin,67,7.080044235721791,49.013910736907036
87212027,Strasbourg-Ville,O,O,142000,1,000+000,Strasbourg,Bas-Rhin,67,7.734259299051056,48.58506336156198
87212050,Strasbourg-Cronenbourg,O,N,139300,1,499+980,Strasbourg,Bas-Rhin,67,7.727923067198434,48.59768832983313
87212068,Strasbourg-Neudorf,O,N,142000,1,002+390,Strasbourg,Bas-Rhin,67,7.743580350601936,48.56931566735245
87212076,Strasbourg-Port-du-Rhin,O,N,142000,1,007+233,Strasbourg,Bas-Rhin,67,7.794637563830641,48.57436622421724
87212100,Mundolsheim,N,O,70000,1,494+741,Mundolsheim,Bas-Rhin,67,7.72128336654117,48.64480647493068
87212118,Vendenheim,N,O,70000,1,492+390,Vendenheim,Bas-Rhin,67,7.718218127488554,48.66540400117573
87212126,Stephansfeld,N,O,70000,1,486+574,Brumath,Bas-Rhin,67,7.70454103277437,48.71753559096516
87212134,Brumath,O,O,70000,1,484+854,Brumath,Bas-Rhin,67,7.700197614664152,48.7329995411152
87212142,Mommenheim,N,O,161000,1,000+000,Mommenheim,Bas-Rhin,67,7.642507551665085,48.75567060940308
87212159,Schwindratzheim,N,O,70000,1,476+648,Schwindratzheim,Bas-Rhin,67,7.60067795014709,48.75358419451172
87212167,Hochfelden,O,O,70000,1,474+548,Hochfelden,Bas-Rhin,67,7.572162441093835,48.755137916528135
87212175,Wilwisheim,N,O,70000,1,469+674,Wilwisheim,Bas-Rhin,67,7.5076520421221,48.745911662028554
87212183,Dettwiller,N,O,70000,1,466+462,Dettwiller,Bas-Rhin,67,7.464938345385739,48.75182793740594
87212191,Strasbourg-Roethig,N,O,110000,1,003+916,Lingolsheim,Bas-Rhin,67,7.694915442232285,48.5633039400603
87212209,Steinbourg,N,O,70000,1,462+475,Steinbourg,Bas-Rhin,67,7.415056377008995,48.76354364840649
